,ArtistId,Artist,Listeners,Scrobbles,Tag1,Tag2,Tag3,Tag4,Tag5
0,603ba565-3967-4be1-931e-9cb945394e86,*NSYNC,1000244,13392103,pop,boybands,90s,dance,seen live
1,b18bc9c4-6f22-4f1b-a918-e9c86a39fe7a,10 Years,590601,12011793,alternative rock,rock,alternative,alternative metal,hard rock
2,b9a06530-1241-4162-836f-7b8e79deaa58,"10,000 Maniacs",394278,4133351,female vocalists,alternative,rock,pop,80s
3,f37c537b-3557-4031-bfd6-ab63ced32854,10cc,757032,6539113,classic rock,rock,70s,pop,british
4,dff0d392-4cd5-4052-9fbb-f485df3891e5,2 Chainz,689853,10755122,Hip-Hop,rap,Dirty South,trap,southern rap
5,02628cd8-ca14-4545-a0b4-96020b54692b,20syl,77619,892733,Hip-Hop,french,electronic,turntablism,hip hop
6,,21 Savage,301059,11163591,trap,Hip-Hop,rap,hip hop,atlanta
7,382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,2245429,58602220,rap,Hip-Hop,Gangsta Rap,West Coast Rap,hip hop
8,2386cd66-e923-4e8e-bf14-2eebe2e9b973,3 Doors Down,2559193,59991309,rock,alternative rock,alternative,hard rock,3 Doors Down
9,d8354b38-e942-4c89-ba93-29323432abc3,30 Seconds to Mars,2394875,116928135,alternative rock,rock,alternative,emo,indie
10,bf600e2b-dc2d-4839-a1be-6ebef4087cd0,311,1039860,21669272,alternative,rock,alternative rock,reggae,ska
11,efef848b-63e4-4323-8ef7-69a48fbdd51d,4 Non Blondes,694143,4733155,rock,female vocalists,alternative rock,90s,alternative
12,830e5c4e-6b7d-431d-86ab-00c751281dc5,5 Seconds of Summer,524751,22513746,pop rock,pop punk,rock,australian,pop
13,8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,2705872,40767518,rap,Hip-Hop,Gangsta Rap,hip hop,50 Cent
14,,A Boogie Wit da Hoodie,210085,4639319,Hip-Hop,rap,new york,rnb,a boogie wit da hoodie
15,db008806-16f6-48fc-8521-3d953709689d,A Day to Remember,1242053,89613986,post-hardcore,hardcore,pop punk,screamo,emocore
