NAME;COUNTRY;GEONAME
Taiwan;Taiwan;Taiwan
Afghanistan;Afghanistan;Afghanistan
Albania;Albania;Albania
Algeria;Algeria;Algeria
American Samoa;American+Samoa;American Samoa
Andorra;Andorra;Andorra
Angola;Angola;Angola
Anguilla;Anguilla;Anguilla
Antarctica;Antarctica;Antarctica
Antigua and Barbuda;Antigua+and+Barbuda;Antigua and Barbuda
Argentina;Argentina;Argentina
Armenia;Armenia;Armenia
Aruba;Aruba;Aruba
Australia;Australia;Australia
Austria;Austria;Austria
Azerbaijan;Azerbaijan;Azerbaijan
Bahrain;Bahrain;Bahrain
Bahamas;Bahamas;The Bahamas
Bangladesh;Bangladesh;Bangladesh
Barbados;Barbados;Barbados
Belarus;Belarus;Belarus
Belgium;Belgium;Belgium
Belize;Belize;Belize
Benin;Benin;Benin
Bermuda;Bermuda;Bermuda
Bhutan;Bhutan;Bhutan
Bolivia;Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia+and+Herzegovina;Bosnia and Herzegovina
Botswana;Botswana;Botswana
Brazil;Brazil;Brazil
British Indian Ocean Territory;British+Indian+Ocean+Territory;British Indian Ocean Territory
British Virgin Islands;British+Virgin+Islands;British Virgin Islands
Brunei Darussalam;Brunei+Darussalam;Brunei
Bulgaria;Bulgaria;Bulgaria
Burkina Faso;Burkina+Faso;Burkina Faso
Burundi;Burundi;Burundi
Cabo Verde;Cape+Verde;Cape Verde
Cambodia;Cambodia;Cambodia
Cameroon;Cameroon;Cameroon
Canada;Canada;Canada
Cayman Islands;Cayman+Islands;Cayman Islands
Central African Republic;Central+African+Republic;Central African Republic
Chad;Chad;Chad
Chile;Chile;Chile
China;China;China
Hong Kong;Hong+Kong;Hong Kong S.A.R.
Macao;Macao;Macao S.A.R.
Cocos (Keeling) Islands;Cocos+(Keeling)+Islands;Cocos (Keeling) Islands
Colombia;Colombia;Colombia
Comoros;Comoros;Comoros
Congo;Congo;Republic of Congo
Cook Islands;Cook+Islands;Cook Islands
Costa Rica;Costa+Rica;Costa Rica
Croatia;Croatia;Croatia
Cuba;Cuba;Cuba
Curaçao;Curaçao;Curaçao
Cyprus;Cyprus;Cyprus
Czechia;Czech+republic;Czech Republic
Cote d'Ivoire;Cote+d'Ivoire;Ivory Coast
Denmark;Denmark;Denmark
Djibouti;Djibouti;Djibouti
Dominica;Dominica;Dominica
Dominican Republic;Dominican+Republic;Dominican Republic
Ecuador;Ecuador;Ecuador
Egypt;Egypt;Egypt
El Salvador;El+Salvador;El Salvador
Equatorial Guinea;Equatorial+Guinea;Equatorial Guinea
Eritrea;Eritrea;Eritrea
Estonia;Estonia;Estonia
Ethiopia;Ethiopia;Ethiopia
Falkland Islands (Malvinas);Falkland+Islands+(Malvinas);Falkland Islands (Malvinas)
Faroe Islands;Faroe+Islands;Faroe Islands
Fiji;Fiji;Fiji
Finland;Finland;Finland
France;France;France
French Guiana;French+Guiana;French Guiana
French Polynesia;French+Polynesia;French Polynesia
French Southern Territories;French+Southern+Territories;French Southern Territories
Gabon;Gabon;Gabon
Gambia;Gambia;Gambia
Georgia;Georgia;Georgia
Germany;Germany;Germany
Ghana;Ghana;Ghana
Gibraltar;Gibraltar;Gibraltar
Greece;Greece;Greece
Greenland;Greenland;Greenland
Grenada;Grenada;Grenada
Guadeloupe;Guadeloupe;Guadeloupe
Guam;Guam;Guam
Guatemala;Guatemala;Guatemala
Guernsey;Guernsey;Guernsey
Guinea;Guinea;Guinea
Guinea-Bissau;Guinea-Bissau;Guinea-Bissau
Guyana;Guyana;Guyana
Haiti;Haiti;Haiti
Honduras;Honduras;Honduras
Hungary;Hungary;Hungary
Iceland;Iceland;Iceland
India;India;India
Indonesia;Indonesia;Indonesia
Iraq;Iraq;Iraq
Ireland;Ireland;Ireland
Isle of Man;Isle+of+Man;Isle of Man
Israel;Israel;Israel
Italy;Italy;Italy
Jamaica;Jamaica;Jamaica
Japan;Japan;Japan
Jersey;Jersey;Jersey
Jordan;Jordan;Jordan
Kazakhstan;Kazakhstan;Kazakhstan
Kenya;Kenya;Kenya
Kiribati;Kiribati;Kiribati
Kuwait;Kuwait;Kuwait
Kyrgyzstan;Kyrgyzstan;Kyrgyzstan
Lao People's Democratic Republic;Lao+People's+Democratic+Republic;Laos
Latvia;Latvia;Latvia
Lebanon;Lebanon;Lebanon
Lesotho;Lesotho;Lesotho
Liberia;Liberia;Liberia
Libya;Libya;Libya
Liechtenstein;Liechtenstein;Liechtenstein
Lithuania;Lithuania;Lithuania
Luxembourg;Luxembourg;Luxembourg
Madagascar;Madagascar;Madagascar
Malawi;Malawi;Malawi
Malaysia;Malaysia;Malaysia
Maldives;Maldives;Maldives
Mali;Mali;Mali
Malta;Malta;Malta
Marshall Islands;Marshall+Islands;Marshall Islands
Martinique;Martinique;Martinique
Mauritania;Mauritania;Mauritania
Mauritius;Mauritius;Mauritius
Mayotte;Mayotte;Mayotte
Mexico;Mexico;Mexico
Monaco;Monaco;Monaco
Mongolia;Mongolia;Mongolia
Montenegro;Montenegro;Montenegro
Montserrat;Montserrat;Montserrat
Morocco;Morocco;Morocco
Mozambique;Mozambique;Mozambique
Myanmar;Myanmar;Myanmar
Namibia;Namibia;Namibia
Nauru;Nauru;Nauru
Nepal;Nepal;Nepal
Netherlands;Netherlands;Netherlands
New Caledonia;New+Caledonia;New Caledonia
New Zealand;New+Zealand;New Zealand
Nicaragua;Nicaragua;Nicaragua
Niger;Niger;Niger
Nigeria;Nigeria;Nigeria
Niue;Niue;Niue
Norfolk Island;Norfolk+Island;Norfolk Island
Northern Mariana Islands;Northern+Mariana+Islands;Northern Mariana Islands
Norway;Norway;Norway
Oman;Oman;Oman
Pakistan;Pakistan;Pakistan
Palau;Palau;Palau
Panama;Panama;Panama
Papua New Guinea;Papua+New+Guinea;Papua New Guinea
Paraguay;Paraguay;Paraguay
Peru;Peru;Peru
Philippines;Philippines;Philippines
Pitcairn;Pitcairn;Pitcairn
Poland;Poland;Poland
Portugal;Portugal;Portugal
Puerto Rico;Puerto+Rico;Puerto Rico
Qatar;Qatar;Qatar
Republic of Moldova;Moldova;Moldova
Romania;Romania;Romania
Russian Federation;Russian+Federation;Russia
Rwanda;Rwanda;Rwanda
Réunion;Reunion;Réunion
Saint Barthélemy;Saint+Barthélemy;Saint Barthélemy
Saint Helena;Saint+Helena;Saint Helena
Saint Kitts and Nevis;Saint+Kitts+and+Nevis;Saint Kitts and Nevis
Saint Lucia;Saint+Lucia;Saint Lucia
Saint Martin (French Part);Saint+Martin;Saint Martin (French Part)
Saint Vincent and the Grenadines;Saint+Vincent+and+the+Grenadines;Saint Vincent and the Grenadines
Samoa;Samoa;Samoa
San Marino;San+Marino;San Marino
Sao Tome and Principe;Sao+Tome+and+Principe;Sao Tome and Principe
Sark;Sark;Sark
Saudi Arabia;Saudi+Arabia;Saudi Arabia
Senegal;Senegal;Senegal
Serbia;Serbia;Republic of Serbia
Seychelles;Seychelles;Seychelles
Sierra Leone;Sierra+Leone;Sierra Leone
Singapore;Singapore;Singapore
Sint Maarten (Dutch part);Sint+Maarten;Sint Maarten (Dutch part)
Slovakia;Slovakia;Slovakia
Slovenia;Slovenia;Slovenia
Solomon Islands;Solomon+Islands;Solomon Islands
Somalia;Somalia;Somalia
South Africa;South+Africa;South Africa
South Georgia and the South Sandwich Islands;South+Georgia+and+the+South+Sandwich+Islands;South Georgia and the South Sandwich Islands
South Sudan;South+Sudan;South Sudan
Spain;Spain;Spain
Sri Lanka;Sri+Lanka;Sri Lanka
Sudan;Sudan;Sudan
Suriname;Suriname;Suriname
Swaziland;Swaziland;Swaziland
Sweden;Sweden;Sweden
Switzerland;Switzerland;Switzerland
Syrian Arab Republic;Syrian+Arab+Republic;Syria
Tajikistan;Tajikistan;Tajikistan
Thailand;Thailand;Thailand
The former Yugoslav Republic of Macedonia;Macedonia;Macedonia
Timor-Leste;Timor-Leste;East Timor
Togo;Togo;Togo
Tokelau;Tokelau;Tokelau
Tonga;Tonga;Tonga
Trinidad and Tobago;Trinidad+and+Tobago;Trinidad and Tobago
Tunisia;Tunisia;Tunisia
Turkey;Turkey;Turkey
Turkmenistan;Turkmenistan;Turkmenistan
Turks and Caicos Islands;Turks+and+Caicos+Islands;Turks and Caicos Islands
Tuvalu;Tuvalu;Tuvalu
Uganda;Uganda;Uganda
